Country of Destination,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brunei Darussalam,119,127,158,179,226,157,214,242,209,3279,3886,218
Cambodia,1055,1422,1700,2015,2125,2162,2508,2882,3584,4210,4503,4775
Indonesia,5321,5002,4871,5506,6429,6324,7003,7650,8044,8802,9435,10407
Lao PDR,895,1095,1215,1624,2005,2008,2513,2724,3330,3779,4159,4684
Malaysia,15703,16431,18472,20236,22052,23646,24577,24714,25033,25716,27437,25721
Myanmar,657,660,653,732,661,763,792,816,1059,2044,3081,4681
Philippines,2291,2623,2688,3092,3139,3017,3520,3917,4273,4681,4833,5361
Singapore,8375,8942,9752,10288,10116,9681,11639,13171,14491,15568,15095,15231
Thailand,11737,11517,13822,14464,14597,14150,15936,19098,22354,26547,24780,29881
Viet Nam,2928,3468,3583,4150,4254,3772,5050,6014,6848,7572,7874,7944
